PrimeNet;janvier;février;mars;avril;mai;juin;juillet;août;septembre;Target
82225000;8982017;9818445;7839347;9343753;9593066;10496388;9934389;7846766;2061674;1
45440766;3095753;2232455;2934014;2369418;1737997;2548072;1848907;2501309;2149814;0
125375328;8727593;8254896;8672808;13424005;23000627;12651332;11020853;11078440;8191819;1
8665327;100924;311960;451160;705279;337854;521166;81016;187708;103836;0
243543777;18398677;14319645;17910252;13680423;12278640;15220911;14950130;19585325;15742069;1
50108640;2782954;2161785;4137563;2527287;4013178;3100588;2594168;2875161;2242388;1
14724007;719500;751061;725590;1281447;1195088;655734;760814;729133;1373734;0
7363106;508014;270690;378426;419484;271380;266605;106380;210602;129668;0
14559574;630580;982398;683534;939922;1292851;770436;963778;810228;677959;0
60770115;2796069;2265012;2048430;1893494;2873469;1873816;2000638;2060283;3068782;0
9224404;513650;1100605;1210470;870672;529320;510481;742963;153122;187510;1
4860000;409388;523050;750380;479150;474736;545240;657750;133960;530720;1
26174716;555743;909032;521377;470963;725249;1843210;1711632;724911;1824805;0
21402000;1841167;755966;1274356;845131;1246749;929066;886087;678170;942852;0
14023788;464120;979403;697940;1642113;751340;872957;917889;789166;1309198;1
133794395;12873042;12102014;15866518;10726028;15376920;14319663;15914614;10917568;11691229;1
13677645;630507;1260013;1430578;1040521;1242537;1895929;829483;1112877;1129412;1
169682348;8778335;8203623;8211695;8902626;9540274;10258931;11250589;7806652;9195072;0
29736075;1907538;1387797;4079957;2598760;1113864;1715750;1767795;2679695;1811691;0
10042301;249280;331180;345904;284740;11232;274586;324956;340924;992144;0
3187500;249722;70581;234334;250812;322359;191214;400798;392377;177170;1
69754860;6580542;5947216;8850360;8239920;7860454;7638336;4335398;6743754;5672424;1
48496077;1860575;2835765;3132432;2419084;2411071;2927081;2515563;3195867;1711391;0
3726000;272973;112282;73019;58350;113754;47826;98251;70807;96406;0
20357670;1247860;831655;805647;1310521;1409831;1471320;849783;1824608;1676133;1
35861313;684888;1828612;1696984;2331263;2980057;2612337;1912664;1701608;2548572;0
22589309;1621615;1120598;1258437;1302584;1363358;1587458;1088662;1501562;1228858;1
54451641;1750535;2408632;1516671;2900211;2553896;2276497;3044531;2713338;2182537;0
13249239;842452;1003480;922279;1154440;1507420;1384960;1672314;1889888;1959860;1
59352653;2575504;3151855;4015669;3600475;3012673;3613982;2287905;1625322;1858995;0
6565118;122376;522648;364219;636520;315072;178068;366196;197776;233156;0
2815096;571812;75556;181436;372499;105548;100340;99696;57532;47860;0
19714528;158497;574312;339077;650721;1353407;485109;453208;236814;386877;0
32535193;2771812;1637626;3011658;3267544;2463037;2326289;2612319;2528691;2697462;1
206029634;14118156;12215622;11158280;14772721;10090660;13092744;11841342;12370035;13681229;0
185950000;9564918;12394805;10691913;10244551;10392057;10085291;7857026;8132528;6634293;0
11410064;624532;499348;1313940;589432;531680;435920;303892;517404;375344;0
1955000;213163;144212;666808;410055;172432;113014;176352;559980;128392;1
206199751;14638721;13919597;13519943;15326978;14081113;14316631;10938867;11760105;15785793;1
30163735;2521646;2622642;1707748;2465631;2479267;1454039;2384011;2170417;2979114;1
22908616;1290313;1937234;1912921;2163123;2008507;2052667;2062229;2800974;1532529;1
1486080;102830;152350;15620;112905;496624;86120;126180;449684;94435;1
4190400;177930;74675;244385;76855;70775;147195;39430;57245;44065;0
7718292;317620;363560;510010;341820;2177436;1178623;542334;431480;581317;1
9826983;80554;235138;171407;724211;272434;136026;142313;161725;135459;0
11991375;252481;1113472;827530;434455;537487;595000;548860;408110;888070;0
57401801;2685129;3002673;3380378;2955117;3140470;3663242;3799347;3858833;3111939;0
1193904;178410;92945;24130;24580;57945;41705;111630;45565;42065;0
115930392;10648318;12157228;11570450;9434669;11064692;15374672;10092821;9861168;8796733;1
6846038;942618;470576;719348;1877998;1044789;1101204;100464;308496;11200;1
12600755;865494;701798;925066;531906;748830;1658154;573597;623180;602005;1
10910288;1384392;2464027;865294;1533321;349304;437198;1297426;666048;451564;1
38881611;2074337;3967853;2567502;1932818;1995892;2330014;1646076;2091180;1571637;0
146919473;8150771;7418749;7238214;9118856;9466046;9888518;8447954;8485137;8337342;0
44624667;2257511;2198976;2516046;3469584;2046129;2754744;2113821;1841601;2433439;0
8628658;923088;26250;124554;217334;45365;210175;191675;829053;297869;0
6436495;381954;485936;431322;273172;35468;179012;192448;428648;203752;0
15891713;459393;1285960;354670;671497;601371;738530;360574;299592;1058066;0
89725801;4155794;8817971;5246282;4822817;4375846;5507880;4216069;4218375;4821794;0
6277717;141529;186870;445573;328192;488518;643844;259921;1559630;335487;1
6856032;26639;78659;247376;118568;165498;706013;402408;455390;149817;0
166209409;8533532;7693041;9054056;9536741;8775337;13106045;9471004;8948030;8621414;0
31603565;2924939;2627777;2818238;4714922;2375868;2107551;3520077;3389634;3584732;1
6135376;65772;240938;49851;850980;112363;202036;212012;387739;895910;0
24808121;1152743;2120504;2976082;2245207;4194667;1656724;2668181;4123132;1477152;1
923932;68530;79020;192020;137250;410185;78720;69875;76210;60390;1
48499793;3060493;4399706;3209922;4337858;4316904;4639980;4167039;6589749;6171428;1
42474064;3377285;3850174;4622867;4771872;5314689;2918142;3511898;3599068;4028697;1
21094081;692927;624850;504405;1522666;868816;2384339;762126;764823;477211;0
19910835;1287785;1163378;547974;1763723;864499;917424;1145232;898374;797826;0
26525730;616384;527864;734504;483228;749648;831206;818922;1228698;234100;0
2106000;101670;202250;473059;333554;174535;459641;323366;195837;733909;1
47525088;3509453;4067268;3800793;2297659;2126454;4037019;2320504;2657254;2725699;1
4114104;98868;324897;302088;178854;780989;107504;50784;95252;155535;1
3169044;194875;66490;74390;74295;110415;63515;25644;13800;79400;0
2692024;557145;1711830;604470;1078125;1444005;1476267;977250;487335;1026987;1
2561625;136425;52415;359834;199120;49100;221810;306035;78800;84090;1
74119416;3169066;4153815;5222291;4731278;4519059;5944756;4401689;5289630;3023550;1
2860872;168535;568260;1629592;407955;1118311;196041;213130;128190;544375;1
16400000;1285598;1144046;1724371;1360597;1857697;1948688;1240563;1420308;919382;1
1994162;108215;361027;1233883;203772;250205;1161910;216200;389010;393645;1
17100694;890709;1947623;2060887;2208653;3123596;2985617;2125158;2350393;2310249;1
29540904;1007963;1070493;1019751;1006694;1044274;3256222;706858;885830;1053393;0
5688667;126985;470365;960425;84795;126910;89670;137384;17235;92580;0
60592734;1651860;2776479;4147477;3372105;2030913;2274981;3313812;2531284;2342472;0
17887309;689455;999550;1577460;820114;1144137;1080630;952991;1295842;1808661;1
161621754;10768011;7070527;7692066;7226532;7901141;9161833;11055370;8633379;8756980;0
9767550;691031;243244;242376;193324;200379;334388;149972;367888;319315;0
15706830;791283;665617;1632306;544314;332000;1021461;230829;199503;190797;0
2361354;257640;152280;20400;155840;285050;35770;351265;30580;49845;0
13390100;850912;968711;1020915;703934;1161839;563310;5223879;608107;644887;1
1786006;360200;180780;456190;250950;643860;104800;520940;62060;125630;1
4943322;293776;148695;185885;699436;254135;237639;54477;715549;507058;1
27746844;955618;1073912;2055850;1351446;1586719;1255096;1257849;515652;1453784;0
1863000;753297;828600;169905;2068755;185295;482160;248595;155445;263970;1
6605000;239898;1021617;296464;251096;62800;443763;395112;402663;660708;0
3260250;315468;76945;297260;133690;190495;262355;242092;727827;324585;1
898308;8560;29310;248870;195650;7200;28690;149490;92450;19420;1
13348737;418356;90818;286416;48984;171706;43532;43532;230443;27544;0
120329053;3726857;3210141;5508511;4629014;4175027;4299612;4886826;5347400;4116186;0
4954420;21880;50890;210672;131512;81800;70545;82555;469075;128100;0
25168942;1874366;2635438;1617842;2341844;2197164;2412922;1268926;1498900;1391604;1
19004787;1221108;1884431;2144308;1475331;1684232;1515638;1974696;1820498;2132861;1
107629381;11186463;4148381;4115760;4808814;4823086;4951150;5842265;3601258;5700772;0
6327211;306255;453380;400925;725473;568695;173890;203670;621630;495575;1
4657500;452451;256815;97580;391000;205825;197335;170000;208441;246255;0
28805349;1218841;2638143;1006835;1595789;2221831;2243738;1938071;2381790;2183928;1
482052;1241192;15388;58072;87792;12808;24400;15584;8000;29684;1
5988122;320310;649390;427605;369900;267190;110250;533420;593215;294417;1
5577653;304580;995100;451082;339257;223928;618196;340472;480389;189637;1
2445189;145355;1025727;280896;131348;96390;171180;439465;327655;167140;1
3213678;34295;157295;21040;40705;45330;88185;121650;358720;143221;0
68316645;5390177;8460374;10020127;6966191;10461804;8246652;6361819;5300877;7009360;1
5180892;150185;144521;937879;174098;530663;157126;165719;64800;102815;0
8088617;158264;62669;120534;188005;228278;221831;149288;342242;37733;0
15097367;99088;1008088;459335;619592;419568;914626;501880;312240;341012;0
17287283;177040;285176;687593;164879;393170;678611;476136;324291;1030395;0
25703789;979925;1237378;1797211;1250824;2681623;1293422;1579503;1612430;1601999;0
19269402;2512300;1321317;1275573;3701565;358510;1110613;524120;1485610;2220197;1
9464273;130185;58495;164285;572562;143370;63910;103908;264406;353575;0
99556754;6142229;5788806;5480606;7343255;7296024;7938763;10164264;7099116;7015343;1
4222800;465575;323575;228340;93570;126665;359505;99330;245030;188145;0
1241460;512228;429080;70000;412632;333072;765640;319180;1120360;376320;1
36525594;971816;913257;2429617;6589153;2267104;2496609;1929370;1076216;1083097;1
2632500;90830;28690;36216;96640;56025;70950;42720;57600;314000;0
63553630;2618352;2388004;2529729;3211188;3861818;3465075;3271489;3698313;3650321;0
87728380;3083551;3406598;4486748;3522419;4467392;4965365;4612047;4214933;4229285;0
509903592;50740205;93125752;73813762;55235986;44939854;70395241;72909976;59995927;48908582;1
931500;33065;624666;30720;98945;31315;19315;77315;197231;57975;1
27513623;2312073;3946507;3587691;2463667;3452044;3422323;4840405;1683299;2449413;1
4812486;193815;134875;120045;138050;956630;232120;233275;139170;382000;0
670680;49848;188028;219256;105024;244808;91744;259928;99160;52332;1
2860872;50260;521090;44590;96790;95470;180045;58510;1122390;171730;1
118510508;13421139;19083265;20181312;30700461;20545582;20386940;17515966;19589950;16592964;1
1037800;28800;63972;22400;336764;197996;84852;43236;72548;50644;1
1697127;179206;147052;81791;31749;274315;220448;81823;142145;401870;1
1397250;654990;1231305;416790;1418775;558675;855795;970434;880365;1047300;1
8443670;511535;448975;245340;236765;241125;607600;791246;207365;494205;0
12389416;126917;220267;214157;231039;799311;623298;2373415;1609532;751101;0
16380630;240884;389584;969790;408088;493316;815456;534217;519956;349245;0
14012962;1651082;3710726;3217146;2371640;6549853;2119768;2536485;1021620;2387266;1
25026205;1333491;1851925;1521599;2450377;2390775;2178590;1896398;2889346;2420962;1
4004000;959952;567318;143538;171200;301170;206730;210862;111688;168593;1
16498526;926683;1124858;906911;885658;1141967;1370451;1431977;976493;2324763;1
9341621;370828;239148;461140;490631;552108;479052;694819;564476;442704;0
41552818;1656397;1678077;1659541;1574199;1440049;2186658;1455296;1077911;1580279;0
2333513;790816;249088;1553822;772888;54080;1856584;76488;107312;116448;1
22767960;1801024;2425904;2542082;2858944;2799510;2553036;2797260;3478626;2274488;1
13303233;263553;823929;1568546;1149893;2081439;829410;483396;787282;1289864;1
2103248;414661;131932;160180;37676;160240;436796;72876;170424;146384;1
300292;22680;12760;25780;25668;28744;82620;71112;48736;48268;1
597085;25648;71316;36868;20085;84148;280280;50072;83100;82104;1
1542565;142170;241210;92755;654499;78390;18480;185050;23670;65140;1
49232254;3623170;3363520;4097684;2455800;3703718;9498173;3066101;2977580;3545095;1
18495711;358200;300450;643306;686125;473267;331475;927110;498289;398620;0
3387750;210811;110375;102850;325013;256921;441098;305234;84095;106935;1
23510652;1678912;1802220;2172339;1526108;1742564;1835589;1636634;1670458;1357232;1
54916944;4131500;8410707;7093106;8505722;8321671;5524517;5801225;5470314;4004883;1
9922171;369368;612218;874016;769428;1210883;521648;569836;362726;478594;1
13028706;1966950;1655487;829782;781794;1254837;1244536;1142504;696945;1025059;1
2717913;49308;121380;131664;290468;230039;252493;584627;89420;161064;1
4768038;41803;149980;201148;195785;193831;192992;103216;215480;68628;0
7061397;423572;624700;214960;312760;524595;296176;197954;821026;246871;1
154514920;15363663;13571771;14966087;15210635;14486929;19044934;16044228;19154223;13465376;1
143310398;16504211;9835445;9892547;16075311;10170154;10396872;14677582;9335922;14074406;1
2968797;65617;114695;416833;310814;182103;339833;136195;94983;88406;0
38102074;1246068;712789;1694034;997006;1053599;1274479;1525214;1369577;1520762;0
4783200;110592;609868;376181;94232;83832;26244;58924;265236;232130;0
2755000;94387;112870;492098;53360;26440;74775;89720;685946;670900;1
41307710;800685;1459230;677919;1424505;1992537;1838556;1463056;1156265;1456063;0
33231399;1085011;1554693;976459;2917259;1746462;1793720;1540116;1570337;2184434;0
138529082;9783520;6535519;7024537;8221148;8609236;7298864;5906478;5896409;6977430;0
2799999;104272;2407;5379;212008;113768;242749;40340;65685;39437;0
3526283;71590;141005;87635;14000;140645;188455;803145;140675;63525;0
23466648;740026;1419105;1115824;731798;418284;1591112;1144102;1459362;914405;0
6294372;98711;189989;147421;724378;118176;148054;200316;86047;89598;0
16047952;1172294;1472618;730994;1126746;502191;639672;425505;799294;587469;0
41695945;1798145;1732346;2092270;2146027;2001704;2207336;1289107;1477002;3252898;0
119472484;5434706;7766863;6150331;7637006;7349860;7744325;7726011;8673798;6200884;0
